steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.45,-0.010764238,0.0021101902,3.6661873,0.0008427736865970001,1.0
50.0,-47.9,-0.01079903,0.0015995443,3.6853461,0.00026515789256139255,1.0
50.0,-48.95,-0.0104696425,0.0026783429,3.7174888,0.00014523960729073804,1.0
50.0,-49.35,-0.011885348,0.0014942238,3.7356396,6.660679519823715e-05,0.6666666666666666
50.0,-49.25,-0.010060267,0.001141079,3.7409441,5.948022488605638e-05,0.4444444444444444
50.0,-48.4,-0.013622604,0.0031787097,3.7478285,4.393512696575569e-05,0.4444444444444444
50.0,-48.85,-0.013091918,0.0013943153,3.7367702,7.303153508667267e-05,0.2962962962962963
50.0,-49.05,-0.014904287,0.0062223244,3.7410212,5.4115154403377826e-05,0.4444444444444444
50.0,-49.75,-0.012595677,0.0034271658,3.7433238,3.1431530019474644e-05,0.4444444444444444
50.0,-49.7,-0.0112377405,0.0016454346,3.7384522,2.375212613139438e-05,0.4444444444444444
50.0,-48.7,-0.0070896065,0.0010399309,3.7139583,0.0001409746467255093,0.2962962962962963
50.0,-48.25,-0.012453204,0.002181369,3.7151332,5.923664113257777e-05,0.2962962962962963
50.0,-49.1,-0.011060865,0.002912946,3.7418644,3.80373345042503e-05,0.2962962962962963
50.0,-48.85,-0.015348736,0.0036576889,3.7490718,4.80298246761685e-05,0.2962962962962963
50.0,-47.75,-0.016193608,0.0047391746,3.740775,5.082785360728555e-05,0.2962962962962963
50.0,-47.95,-0.016020183,0.007716954,3.7223835,9.202470732425918e-05,0.4444444444444444
50.0,-47.15,-0.010904881,0.004153922,3.7027035,0.0001526972042826689,0.4444444444444444
50.0,-49.15,-0.01369759,0.0038225206,3.69815,4.200776447138599e-05,0.4444444444444444
50.0,-47.65,-0.020490924,0.01065016,3.7066174,0.0001502284807612276,0.6666666666666666
50.0,-49.1,-0.01845674,0.011227287,3.6934986,4.20761280382592e-05,1.0
50.0,-48.35,-0.0117608905,0.0035744512,3.661837,3.990758143712574e-05,1.0
50.0,-49.15,-0.017341087,0.0045794467,3.6614985,2.114186938736009e-05,1.0
50.0,-48.5,-0.020667974,0.007431717,3.6564357,4.091180807329082e-05,1.5
50.0,-49.4,-0.019414216,0.0043624523,3.6547227,2.5843659645587447e-05,1.5
50.0,-48.1,-0.009154898,0.0014683664,3.6579573,7.152882054051697e-05,1.0
50.0,-47.05,-0.018885843,0.006864938,3.639763,7.361840487025828e-05,1.5
50.0,-47.15,-0.018237276,0.0070618875,3.6204743,0.00010458508385585993,2.25
50.0,-45.65,-0.0094938,0.0016976907,3.6147556,0.00014360677177121053,2.25
50.0,-46.85,-0.014948033,0.003969383,3.6220882,7.870529637459113e-05,2.25
50.0,-46.15,-0.024739645,0.005749945,3.6224055,4.5723724715428526e-05,2.25
50.0,-42.4,-0.0127977,0.0031282813,3.6130602,0.00033564750998497613,2.25
50.0,-43.15,-0.0145397885,0.0036366002,3.599752,0.0002985913242209616,2.25
50.0,-45.05,-0.015246386,0.004022758,3.5857801,0.00018979307112667183,2.25
50.0,-41.2,-0.016115962,0.004096638,3.5890114,0.00036853538305685465,2.25
50.0,-37.65,-0.012562489,0.0022107041,3.5931585,0.0003875241900560523,2.25
50.0,-43.1,-0.016930869,0.0044434727,3.590775,0.00010939085685757711,2.25
50.0,-38.75,-0.018294314,0.004295175,3.5868313,0.00020732400273308283,2.25
50.0,-38.35,-0.018462533,0.0058660135,3.5642986,0.00027108702996354796,2.25
50.0,-33.1,-0.01768781,0.003951552,3.542091,0.0003443245740147782,2.25
50.0,-35.0,-0.021854687,0.0055823326,3.5198085,0.00030376879505481636,2.25
50.0,-34.65,-0.03109919,0.0058071497,3.506997,0.0004537059457794408,2.25
50.0,-32.7,-0.017167399,0.0045220377,3.488971,0.0003427298277062757,2.25
50.0,-29.35,-0.01764379,0.003971771,3.4706619,0.00036052941580815413,2.25
50.0,-29.0,-0.019636983,0.0040960875,3.4547813,0.00046503502184649345,2.25
50.0,-29.45,-0.024462078,0.0052688555,3.4326694,0.0003210109172847174,2.25
50.0,-24.85,-0.024423549,0.005492482,3.3994634,0.00016994313067760836,2.25
50.0,-24.75,-0.021391286,0.0037346242,3.365306,0.0004921711503293637,2.25
50.0,-19.75,-0.026432572,0.0061089657,3.3428688,0.0002136878787840021,3.375
50.0,-21.1,-0.020081822,0.0032136878,3.3233275,0.00029536678084307475,3.375
50.0,-17.35,-0.019491516,0.0031799814,3.2995725,0.00024128802184374576,3.375
