steps,rewards,critic_loss,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.8,0.00039927542,-0.015252456,0.0034585097,3.690494,0.00110254071417351,1.0
50.0,-49.0,9.2477094e-05,-0.009397664,0.0016260643,3.6894698,0.00030902669888170837,1.0
50.0,-49.05,6.5277294e-05,-0.01378586,0.0032334116,3.67216,0.0001615601643068909,1.0
50.0,-48.65,6.305122e-05,-0.012239991,0.0021483942,3.6648211,6.45133535543491e-05,1.0
50.0,-50.0,5.762274e-05,-0.010850175,0.0022890496,3.6598186,3.888025276817424e-05,1.0
50.0,-48.55,5.6938334e-05,-0.012235722,0.002094689,3.659967,6.546081086575993e-05,1.0
50.0,-49.85,5.8905498e-05,-0.014994132,0.003869694,3.6676307,3.9713106568734446e-05,1.0
50.0,-49.05,6.271432e-05,-0.01652277,0.0041501787,3.6883729,5.632285660643459e-05,1.0
50.0,-48.75,5.5572953e-05,-0.007130079,0.0005721078,3.6788898,5.378326541083013e-05,0.6666666666666666
50.0,-47.25,5.6676126e-05,-0.015773294,0.0018256746,3.669537,0.00010870539050004626,0.6666666666666666
50.0,-49.6,5.6906676e-05,-0.013255042,0.0053828317,3.6889277,4.2987883782786077e-05,0.6666666666666666
50.0,-49.55,5.717858e-05,-0.013912113,0.004063122,3.6948414,2.321101781557778e-05,0.6666666666666666
50.0,-49.2,6.752184e-05,-0.019984553,0.0046309168,3.707262,3.406287110693654e-05,0.6666666666666666
50.0,-49.3,7.096607e-05,-0.015496737,0.0025489614,3.7283523,4.581179152395326e-05,0.6666666666666666
50.0,-48.8,8.136916e-05,-0.012945623,0.0025375246,3.732222,5.086888362219945e-05,0.6666666666666666
50.0,-48.45,9.744197e-05,-0.015313227,0.0031308343,3.7188249,5.610098850458015e-05,0.6666666666666666
50.0,-48.95,9.263866e-05,-0.016255645,0.0034934527,3.6931837,2.7862050212658127e-05,0.6666666666666666
50.0,-48.55,8.782606e-05,-0.016972309,0.01001588,3.6877959,5.8576754533232684e-05,1.0
50.0,-48.15,8.679248e-05,-0.017940313,0.0039217956,3.6968224,7.207156203698199e-05,1.0
50.0,-48.2,9.3225186e-05,-0.018308017,0.0033471973,3.6819391,6.88125436872131e-05,1.0
50.0,-46.8,0.000103621234,-0.015592573,0.0030314752,3.6964755,0.00013429564551789076,1.0
50.0,-46.55,0.000101609716,-0.014567516,0.0035363506,3.7100692,0.00010322776818977508,1.0
50.0,-46.75,0.000102823054,-0.021448975,0.0051949285,3.7093153,0.0001473051659342758,1.0
50.0,-47.25,9.693308e-05,-0.019484911,0.0072644805,3.7169802,6.271654593341668e-05,1.5
50.0,-47.4,8.4476815e-05,-0.016178414,0.0034339682,3.7167094,8.900165388019711e-05,1.5
50.0,-47.55,7.910949e-05,-0.020502346,0.0064330897,3.7285924,9.38056009649256e-05,2.25
50.0,-47.25,7.809921e-05,-0.012566286,0.0020986723,3.7152114,0.0001308625793629932,2.25
50.0,-45.85,7.80369e-05,-0.01503919,0.0026788039,3.7093725,6.881479595495109e-05,2.25
50.0,-45.1,7.158114e-05,-0.013317587,0.0021695558,3.7092042,0.0002918244243823627,2.25
50.0,-45.25,7.137691e-05,-0.012888099,0.002093804,3.7082791,0.00019135184629538732,2.25
50.0,-42.9,7.0414564e-05,-0.0152621,0.0022774604,3.6932795,0.0003081935392659484,2.25
50.0,-44.55,6.71512e-05,-0.017094858,0.002590441,3.714178,0.00013692816796941548,2.25
50.0,-42.6,7.3080235e-05,-0.014382893,0.0029405267,3.7159758,0.0002475190988589375,2.25
50.0,-41.45,7.5252145e-05,-0.016827399,0.0028204771,3.714067,0.00020585828682081846,2.25
50.0,-41.95,7.852951e-05,-0.01742956,0.0037594382,3.705172,0.0004103069346235996,2.25
50.0,-40.1,7.930839e-05,-0.014385909,0.0021611797,3.700581,0.0004229002091963602,2.25
50.0,-37.2,7.877088e-05,-0.017014312,0.0040694,3.6971211,0.0002695904795525036,2.25
50.0,-35.55,8.7043874e-05,-0.019051814,0.0044889566,3.675077,0.00021683801273747377,2.25
50.0,-33.95,8.6438464e-05,-0.015667405,0.0037991693,3.6428294,0.00045255316898823586,2.25
50.0,-32.25,8.44892e-05,-0.020539152,0.004291545,3.6162834,0.00041097116225375047,2.25
50.0,-31.9,9.358093e-05,-0.020189064,0.0044104406,3.6007495,0.0004568173831452918,2.25
50.0,-29.55,9.883106e-05,-0.02093383,0.0037637132,3.5828748,0.0004318003794383921,2.25
50.0,-27.9,0.00010441023,-0.019495888,0.0037451286,3.5570717,0.00044879771629783216,2.25
50.0,-27.75,0.000107671585,-0.023485882,0.0052512186,3.5349905,0.0002241347925535565,2.25
50.0,-26.2,0.00011127912,-0.031108988,0.0064538373,3.5100117,0.00043710236604033295,3.375
50.0,-22.05,0.00013140785,-0.022248285,0.0032083278,3.4867797,0.0002939289065411294,3.375
50.0,-18.95,0.00014199755,-0.020425603,0.0029824465,3.4645348,0.0004905554058084767,3.375
50.0,-17.6,0.00014329836,-0.023176098,0.0041879667,3.4409342,0.00030995092164572645,3.375
50.0,-16.5,0.00014650884,-0.018666722,0.002962369,3.4109669,0.00017146378281042036,3.375
50.0,-15.95,0.00014855835,-0.020766724,0.004551089,3.394722,0.00017893120388043007,3.375
