kl,steps,beta,critic_loss,value_func_loss,policy_loss,rewards,entropy
0.0016255238,50.0,1.0,0.00041165695,0.001341052340188016,-0.014395626,-49.7,3.677237
0.001047415,50.0,0.6666666666666666,0.000102685,0.00024630745338084797,-0.009054294,-49.7,3.675455
0.0021380386,50.0,0.6666666666666666,7.917975e-05,8.647548751826049e-05,-0.012425318,-49.65,3.6650026
0.0023444279,50.0,0.6666666666666666,7.77003e-05,8.564354086622482e-05,-0.010741171,-49.15,3.6743712
0.003780835,50.0,0.6666666666666666,7.251424e-05,5.138554291823346e-05,-0.012320514,-49.65,3.6862235
0.0018024463,50.0,0.6666666666666666,6.190568e-05,4.774602748775342e-05,-0.010209751,-49.25,3.6691573
0.0029475573,50.0,0.6666666666666666,6.4873515e-05,5.102850322267239e-05,-0.013861855,-49.25,3.666109
0.0021722252,50.0,0.6666666666666666,7.427708e-05,5.8674169911911365e-05,-0.013706464,-48.7,3.6534748
0.0031822845,50.0,0.6666666666666666,6.682244e-05,3.620277087752507e-05,-0.014436373,-49.35,3.6401367
0.0026497175,50.0,0.6666666666666666,6.42097e-05,0.00010800787031248524,-0.009804178,-47.0,3.6363208
0.008927141,50.0,1.0,6.835824e-05,4.405439209272799e-05,-0.0195924,-49.7,3.6425478
0.0025080137,50.0,1.0,7.786034e-05,5.8632344527661565e-05,-0.010817888,-48.35,3.6485198
0.0041691912,50.0,1.0,6.902801e-05,3.0185758327879935e-05,-0.013535306,-49.65,3.634471
0.0009914477,50.0,0.6666666666666666,6.931225e-05,5.679414485895465e-05,-0.008099771,-48.7,3.6244879
0.0023298247,50.0,0.6666666666666666,7.005364e-05,3.090486090741253e-05,-0.012917168,-49.65,3.5998256
0.007474114,50.0,1.0,7.014155e-05,3.76427815191927e-05,-0.016508834,-49.1,3.5804439
0.0011593713,50.0,0.6666666666666666,6.969516e-05,9.808185246442538e-05,-0.009751009,-48.55,3.5670033
0.0029294314,50.0,0.6666666666666666,6.62055e-05,8.845410266797547e-05,-0.011577997,-47.25,3.5652723
0.0059635965,50.0,0.6666666666666666,6.454278e-05,5.9077020560499934e-05,-0.018369606,-48.9,3.5718153
0.0029570528,50.0,0.6666666666666666,6.340406e-05,6.0110062027343066e-05,-0.013528438,-47.9,3.5800102
0.0063776816,50.0,1.0,6.265743e-05,0.00010213563393040127,-0.023157096,-47.5,3.5728018
0.0019020836,50.0,1.0,7.36641e-05,3.89989574233154e-05,-0.012556012,-49.0,3.572689
0.0057433844,50.0,1.0,7.124333e-05,8.27101115383714e-05,-0.020734636,-48.2,3.5665178
0.0041608955,50.0,1.0,6.51102e-05,8.748895472645906e-05,-0.014684143,-47.0,3.5629377
0.005334916,50.0,1.0,6.426184e-05,5.55235846064974e-05,-0.014418448,-48.65,3.5654328
0.007885002,50.0,1.5,6.607468e-05,3.69577627295278e-05,-0.023896078,-48.6,3.576914
0.0052896473,50.0,1.5,6.657995e-05,4.428667099728297e-05,-0.014076729,-49.2,3.5953803
0.00285562,50.0,1.5,6.383169e-05,3.114289486053776e-05,-0.014811759,-49.3,3.5932212
0.0074087717,50.0,2.25,6.973529e-05,6.381124839568786e-05,-0.020804236,-48.1,3.6031618
0.0023591972,50.0,2.25,6.4682616e-05,0.00011572264402693206,-0.013525765,-46.55,3.6050887
0.001759665,50.0,2.25,6.175177e-05,0.0001471502360501724,-0.013065325,-45.9,3.5977917
0.0025893971,50.0,2.25,6.5218366e-05,4.85327610970251e-05,-0.011537098,-48.3,3.5914717
0.0020685478,50.0,2.25,6.767718e-05,5.7113107703760393e-05,-0.009713298,-47.95,3.5819156
0.0013592612,50.0,1.5,7.026914e-05,5.831531830200729e-05,-0.010323648,-48.45,3.585076
0.0027075626,50.0,1.5,7.0526025e-05,8.916209139809096e-05,-0.012587608,-46.35,3.586972
0.0048276377,50.0,1.5,7.1778646e-05,0.00015014483938915264,-0.015809309,-46.25,3.5882044
0.0034507413,50.0,1.5,6.88831e-05,0.00021869680793345754,-0.014637395,-42.85,3.5907912
0.00209618,50.0,1.5,7.227184e-05,0.00018685271112583784,-0.013952863,-44.55,3.5622947
0.0044881394,50.0,1.5,7.710034e-05,0.0005497005538144186,-0.014434742,-42.45,3.5639317
0.0030413016,50.0,1.5,7.632498e-05,0.00014012893402110755,-0.012271404,-45.25,3.5669627
0.002910792,50.0,1.5,7.83393e-05,0.00028081995378558943,-0.013500199,-40.75,3.5549257
0.0036172066,50.0,1.5,7.957926e-05,0.00019630526738482833,-0.016436342,-43.55,3.5511138
0.0045635737,50.0,1.5,8.087076e-05,0.0003188056802652747,-0.014328421,-42.05,3.5563712
0.0048285066,50.0,1.5,8.4916086e-05,0.00021461289946324367,-0.021097764,-43.15,3.544086
0.003386159,50.0,1.5,8.8373796e-05,0.00021627322729035286,-0.015045371,-43.9,3.5285378
0.0057982896,50.0,1.5,8.977335e-05,0.0004035604907304336,-0.01785302,-38.7,3.509052
0.0039174464,50.0,1.5,9.6327705e-05,0.00044234905910270307,-0.015996039,-38.6,3.4816065
0.007383482,50.0,2.25,9.79012e-05,0.00043463046308725363,-0.02223108,-36.7,3.460534
0.0041717263,50.0,2.25,9.3212744e-05,0.00041499316687300706,-0.020542756,-37.2,3.4461617
