steps,rewards,critic_loss,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.5,6.4375425e-05,-0.012013187,0.0015513274,3.664958,0.0020130588168803974,1.0
50.0,-49.85,3.8044225e-05,-0.012384277,0.0012321997,3.6783915,0.00038148911194544656,0.6666666666666666
50.0,-48.95,3.8234935e-05,-0.011745135,0.0025460776,3.6801176,0.00012019472067975987,0.6666666666666666
50.0,-49.0,3.6711917e-05,-0.010768147,0.0015272892,3.6587255,0.00011206269629187836,0.6666666666666666
50.0,-49.0,3.4281347e-05,-0.0060362457,0.0010472352,3.6435404,8.413031113179165e-05,0.4444444444444444
50.0,-49.45,4.1071133e-05,-0.012151264,0.001963735,3.647738,3.54560210033829e-05,0.4444444444444444
50.0,-49.3,3.9056886e-05,-0.010874097,0.0020112786,3.6652288,3.667800860090635e-05,0.4444444444444444
50.0,-49.95,4.023055e-05,-0.018816205,0.0036201864,3.676671,1.9068041472522842e-05,0.4444444444444444
50.0,-49.4,4.71252e-05,-0.013720516,0.0023089403,3.6851034,3.149227722215328e-05,0.4444444444444444
50.0,-49.0,4.3456566e-05,-0.0094806105,0.0023567362,3.6845105,2.9072840199377532e-05,0.4444444444444444
50.0,-48.7,4.307311e-05,-0.011150883,0.0016344531,3.6757662,5.5086093942189884e-05,0.4444444444444444
50.0,-48.25,4.734702e-05,-0.01681026,0.0024729974,3.658608,5.942828930991235e-05,0.4444444444444444
50.0,-49.55,4.990278e-05,-0.008623305,0.0006995158,3.6481962,4.103494680888105e-05,0.2962962962962963
50.0,-49.15,5.0272625e-05,-0.010155439,0.0020089967,3.6459744,4.504019430712675e-05,0.2962962962962963
50.0,-49.45,4.777394e-05,-0.0148230605,0.0033895436,3.6289878,1.9515908396502e-05,0.2962962962962963
50.0,-47.65,4.6133624e-05,-0.015968118,0.0024687585,3.609858,6.708710676041038e-05,0.2962962962962963
50.0,-49.25,4.433834e-05,-0.009526349,0.0010905054,3.5944118,3.837548007629156e-05,0.19753086419753085
50.0,-49.55,4.4566692e-05,-0.021077381,0.005228136,3.591879,1.9328028736645894e-05,0.19753086419753085
50.0,-48.35,4.3775108e-05,-0.015297401,0.00465695,3.5933926,0.00010412347287071225,0.19753086419753085
50.0,-49.5,4.3438828e-05,-0.016207073,0.0046423227,3.5954428,2.8371607365899548e-05,0.19753086419753085
50.0,-48.7,4.10562e-05,-0.015476453,0.0036302689,3.5900211,2.8362335152344724e-05,0.19753086419753085
50.0,-49.2,4.022922e-05,-0.015810229,0.011261212,3.58382,2.029589625008165e-05,0.2962962962962963
50.0,-48.15,3.832411e-05,-0.021289704,0.012330266,3.572884,4.9267292308755036e-05,0.4444444444444444
50.0,-49.35,3.7329362e-05,-0.021805156,0.010115474,3.568449,1.7419905289033323e-05,0.6666666666666666
50.0,-47.65,3.8443308e-05,-0.020051302,0.012449404,3.5674295,0.00012638355385335046,1.0
50.0,-46.15,3.5700188e-05,-0.014705731,0.005597726,3.563773,0.00015512806181274848,1.0
50.0,-48.25,3.5381563e-05,-0.016422778,0.006333488,3.549239,0.00012120256148820689,1.5
50.0,-45.75,3.187634e-05,-0.016504584,0.0034999307,3.5438523,0.00013778046460161643,1.5
50.0,-46.25,3.261593e-05,-0.014600804,0.0043905117,3.5385675,0.00023089183296704253,1.5
50.0,-46.75,3.3258573e-05,-0.01772281,0.0066598617,3.5475824,9.988067437598878e-05,2.25
50.0,-41.95,3.0890416e-05,-0.011665993,0.0021580737,3.5463457,0.0005922596967949049,2.25
50.0,-41.9,3.0831878e-05,-0.011583259,0.0017169798,3.5507727,0.0004176114723986668,2.25
50.0,-43.35,3.0442603e-05,-0.01549324,0.0030252843,3.5500016,0.00031978198653665336,2.25
50.0,-44.8,3.092669e-05,-0.016117303,0.0032080666,3.55054,0.00015363471769658138,2.25
50.0,-43.85,2.8285165e-05,-0.015840914,0.0025802848,3.5262678,0.00014601184740904765,2.25
50.0,-44.65,2.8586932e-05,-0.022346016,0.005357372,3.5265071,0.0001553226906591717,2.25
50.0,-40.3,2.603237e-05,-0.016134307,0.0035387098,3.5149877,0.0004445403190924245,2.25
50.0,-38.1,2.5965384e-05,-0.017180286,0.0038653836,3.50141,0.0005472442875799311,2.25
50.0,-38.15,2.6427282e-05,-0.018935885,0.003336767,3.4938583,0.000315438844638116,2.25
50.0,-34.45,2.5750494e-05,-0.021997143,0.006258871,3.4889946,0.0003432910019939012,3.375
50.0,-31.55,2.5098765e-05,-0.014378639,0.0022123626,3.4763482,0.0005233201134300272,3.375
50.0,-32.0,2.2940498e-05,-0.016888509,0.0032714594,3.4637308,0.0002462363760044467,3.375
50.0,-29.25,2.4785495e-05,-0.013514962,0.0023573942,3.4637551,0.0005301447138900719,3.375
50.0,-32.3,2.3647486e-05,-0.014043625,0.0023456172,3.456773,0.00036699958892583346,3.375
50.0,-32.25,2.2998818e-05,-0.012832569,0.002396105,3.4573777,0.000525396865852564,3.375
50.0,-28.95,2.4285053e-05,-0.016451862,0.0026646052,3.4487705,0.00034581010620361957,3.375
50.0,-27.4,2.258641e-05,-0.013472798,0.0023348306,3.4407144,0.0005225338650510242,3.375
50.0,-24.9,2.3516417e-05,-0.016688373,0.002410323,3.4391057,0.00035516425731907023,3.375
50.0,-22.55,2.343235e-05,-0.014996008,0.0022327094,3.4317904,0.00024743755603998503,3.375
50.0,-23.75,2.2318873e-05,-0.017127529,0.0031419792,3.4112139,0.00033420187916291766,3.375
