steps,rewards,critic_loss,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.85,6.0452996e-05,-0.014656937,0.0026433927,3.6469188,0.003904644882604929,1.0
50.0,-49.8,1.9857991e-05,-0.013160378,0.0027972593,3.6592844,0.002221082179338638,1.0
50.0,-48.6,2.0156052e-05,-0.010292298,0.0012084217,3.6665802,0.0003615431679888227,0.6666666666666666
50.0,-49.3,1.8721517e-05,-0.010860329,0.001792589,3.6780133,0.0001144303393017517,0.6666666666666666
50.0,-48.65,1.7177255e-05,-0.01284141,0.0015445381,3.6877506,0.00014385319838897378,0.6666666666666666
50.0,-49.25,1.7759106e-05,-0.011286367,0.0019626669,3.6755195,4.6191459879457634e-05,0.6666666666666666
50.0,-47.8,1.8761755e-05,-0.007978757,0.0011667025,3.655135,0.00019733894792225675,0.4444444444444444
50.0,-49.05,1.7553135e-05,-0.013690261,0.0061154594,3.632787,5.741919799628259e-05,0.6666666666666666
50.0,-48.7,1.7987993e-05,-0.011658298,0.0018782149,3.6482952,9.211654955699667e-05,0.6666666666666666
50.0,-49.15,1.7508468e-05,-0.01246595,0.002496151,3.6569264,5.3312208832518587e-05,0.6666666666666666
50.0,-49.45,1.6975231e-05,-0.010738715,0.0031088898,3.6514783,3.3420797060122536e-05,0.6666666666666666
50.0,-48.65,1.7475873e-05,-0.011613673,0.0021524497,3.6584957,6.124435184599453e-05,0.6666666666666666
50.0,-48.5,1.6483866e-05,-0.010441412,0.0026123698,3.659422,7.205505860045148e-05,0.6666666666666666
50.0,-47.6,1.6956654e-05,-0.012101646,0.003364144,3.6443355,0.00010424242037345136,0.6666666666666666
50.0,-49.0,1.5359608e-05,-0.011913399,0.005024086,3.6306317,4.14962842704001e-05,0.6666666666666666
50.0,-48.75,1.4921623e-05,-0.016373008,0.0038515003,3.6200395,3.878153951316935e-05,0.6666666666666666
50.0,-48.5,1.5311567e-05,-0.019282913,0.0053086486,3.6087966,0.00013933497205955193,0.6666666666666666
50.0,-48.85,1.5206543e-05,-0.016847312,0.0067399414,3.6177764,4.245904747152844e-05,1.0
50.0,-46.4,1.4675268e-05,-0.01305557,0.0047983285,3.6075618,0.00025501383393704144,1.0
50.0,-47.85,1.4397798e-05,-0.012765485,0.0029192024,3.6068048,0.00010213555108850549,1.0
50.0,-46.95,1.42145345e-05,-0.016432226,0.006215653,3.6091132,0.00014570068117717222,1.5
50.0,-48.25,1.3193161e-05,-0.017654251,0.0047270516,3.5951073,5.863955349561971e-05,1.5
50.0,-47.3,1.3619011e-05,-0.025125852,0.008082479,3.610011,0.00013181801714911242,2.25
50.0,-44.95,1.3180116e-05,-0.012181109,0.00251139,3.602836,0.0002704157219697932,2.25
50.0,-44.8,1.2577741e-05,-0.013673959,0.0036057686,3.5810952,0.00015512075597993652,2.25
50.0,-44.35,1.2832691e-05,-0.013016464,0.0022671926,3.5701656,0.00028432070305671773,2.25
50.0,-43.05,1.2973183e-05,-0.018548122,0.004512776,3.5704541,0.00023545438229945336,2.25
50.0,-41.05,1.2975304e-05,-0.017732069,0.0031649112,3.5655217,0.00043287669296479856,2.25
50.0,-42.4,1.2521245e-05,-0.014626048,0.0030353856,3.5713727,0.0003483236238992839,2.25
50.0,-40.75,1.248369e-05,-0.018700194,0.0037808944,3.5701938,0.000198504144062835,2.25
50.0,-38.0,1.2182721e-05,-0.017006677,0.003003811,3.5500565,0.0005680020551849161,2.25
50.0,-35.8,1.2391519e-05,-0.0204513,0.004522499,3.5341725,0.0002296379237764381,2.25
50.0,-35.85,1.1899862e-05,-0.016551994,0.0039534243,3.5123909,0.0005575651675416094,2.25
50.0,-35.05,1.2183339e-05,-0.021254824,0.0049640364,3.49275,0.00027105393591323466,2.25
50.0,-28.8,1.1647407e-05,-0.01618168,0.0042918283,3.486852,0.0007225088655995809,2.25
50.0,-28.9,1.1390963e-05,-0.019940814,0.0049723713,3.472801,0.00032694094477611114,2.25
50.0,-24.3,1.2407387e-05,-0.021259801,0.004097663,3.4588118,0.0005313653065950489,2.25
50.0,-19.95,1.132977e-05,-0.016914958,0.0034984732,3.4305449,0.00033569050275084153,2.25
50.0,-24.6,1.1988034e-05,-0.018703682,0.00450078,3.417303,0.0004743637094724723,2.25
50.0,-21.2,1.1422414e-05,-0.018979251,0.0034358404,3.4006453,0.00033859418673326357,2.25
50.0,-19.95,1.1095402e-05,-0.02436473,0.00464867,3.3783545,0.000283079114671926,2.25
50.0,-16.5,1.1436504e-05,-0.020226175,0.004108536,3.3659256,0.00027505739955653986,2.25
50.0,-15.15,1.0990831e-05,-0.022292122,0.004322584,3.3524508,0.00033222344578747,2.25
50.0,-15.3,1.1308599e-05,-0.025777634,0.0048125116,3.3288026,0.00017291939056778748,2.25
50.0,-11.3,1.1115109e-05,-0.022308802,0.004249985,3.2899907,0.00017516299909960042,2.25
50.0,-11.9,1.0947899e-05,-0.032705907,0.007428855,3.2519958,0.00017475109945511665,3.375
50.0,-10.05,1.1222307e-05,-0.02341619,0.0046915645,3.2396276,0.00017527839046811917,3.375
50.0,-13.0,1.0757058e-05,-0.023232026,0.004649209,3.2134125,0.0001809349808978507,3.375
50.0,-8.9,1.0791489e-05,-0.018929511,0.0031358083,3.1911094,0.00010852700497053313,3.375
50.0,-8.9,1.0196831e-05,-0.02245611,0.0038094046,3.1707277,8.540147968234887e-05,3.375
