kl,rewards,critic_loss,entropy,value_func_loss,steps,beta,policy_ppo_loss,policy_ddpg_loss
0.0040722783,-49.7,6.7984365e-05,3.6598036,0.0013538616317430535,50.0,1.0,-0.014364921,-0.0007159351
0.0018033092,-49.8,2.0771653e-05,3.6418188,0.000307150645703718,50.0,1.0,-0.00889758,-0.0007477107
0.0017604616,-49.6,1.8984723e-05,3.6394682,9.574512953434756e-05,50.0,1.0,-0.009867125,-0.00026838636
0.0013472073,-49.55,1.9118364e-05,3.649466,4.576706493938865e-05,50.0,0.6666666666666666,-0.008182845,0.00025106288
0.001867068,-49.05,2.2122118e-05,3.6692371,4.4954481915137736e-05,50.0,0.6666666666666666,-0.010561662,-0.0007802091
0.0019656783,-48.35,2.4232857e-05,3.6672535,6.40135402868106e-05,50.0,0.6666666666666666,-0.012177114,-9.050762e-05
0.00085546443,-49.95,2.1919068e-05,3.646243,2.743720271325964e-05,50.0,0.4444444444444444,-0.008440387,-0.00020487717
0.0018015499,-49.55,2.1908985e-05,3.6407442,2.053689275861223e-05,50.0,0.4444444444444444,-0.012589959,-5.117159e-06
0.0032749805,-49.75,2.0573465e-05,3.63638,2.2561798684792073e-05,50.0,0.4444444444444444,-0.015276482,4.086941e-05
0.0035794713,-49.65,2.231562e-05,3.6473484,1.7763720366054154e-05,50.0,0.4444444444444444,-0.016493673,0.0002240483
0.0008837559,-48.95,1.912779e-05,3.6613693,4.937480160294224e-05,50.0,0.2962962962962963,-0.0090361405,0.000448778
0.0014680435,-49.8,2.0708678e-05,3.6756916,1.976573666892236e-05,50.0,0.19753086419753085,-0.00934906,0.00017776834
0.002951014,-49.35,2.075148e-05,3.692603,2.106819909642671e-05,50.0,0.19753086419753085,-0.009498329,0.00016792913
0.0034451538,-49.7,1.9662682e-05,3.6965027,1.1208259882871869e-05,50.0,0.19753086419753085,-0.014353572,-7.402743e-05
0.0034240833,-48.15,2.1273818e-05,3.6895678,4.362700647606232e-05,50.0,0.19753086419753085,-0.0117137255,-0.00019202825
0.0026903828,-48.65,2.12928e-05,3.6727343,3.902610689222437e-05,50.0,0.19753086419753085,-0.012739701,-0.00022505735
0.005057139,-49.1,2.0977068e-05,3.6600451,9.278888872963937e-05,50.0,0.19753086419753085,-0.016380534,-0.00014537464
0.0035350122,-48.9,2.2833043e-05,3.6594455,5.36322466768617e-05,50.0,0.19753086419753085,-0.012885363,-9.8788085e-05
0.008727667,-48.4,2.3287745e-05,3.644753,8.311620486528185e-05,50.0,0.2962962962962963,-0.0143998545,2.7041462e-05
0.0041544293,-49.2,2.4180026e-05,3.6279435,2.195828724781769e-05,50.0,0.2962962962962963,-0.014334754,2.6572687e-05
0.012562753,-48.8,2.369868e-05,3.6194642,4.21990184819792e-05,50.0,0.4444444444444444,-0.010867061,-0.00031402824
0.009132516,-48.05,2.251076e-05,3.6053581,7.379775106784262e-05,50.0,0.6666666666666666,-0.019003702,-0.00038246342
0.0035620644,-48.55,2.1643062e-05,3.5985365,6.762452356680662e-05,50.0,0.6666666666666666,-0.010453109,-0.00017355043
0.008497828,-48.9,2.1533397e-05,3.5929246,3.9526140743746234e-05,50.0,1.0,-0.019652784,-0.00024612548
0.004924433,-49.4,2.1473359e-05,3.6034327,2.231205522450587e-05,50.0,1.0,-0.015602946,0.00020651463
0.0038021796,-49.3,2.2447508e-05,3.6151526,1.9284233739928797e-05,50.0,1.0,-0.015389255,-5.2768995e-05
0.0042970437,-49.05,2.0284557e-05,3.6239223,2.3989467349338466e-05,50.0,1.0,-0.014694301,-0.00014096248
