entropy,steps,value_func_loss,beta,rewards,critic_loss,policy_ddpg_loss,policy_ppo_loss,kl
3.6623385,50.0,0.001591912641527645,0.6666666666666666,-49.25,0.00020045873,-0.012627075,-0.012627075,0.0014272628
3.6668735,50.0,0.0003176371464470706,0.4444444444444444,-49.95,2.1443559e-05,-0.011732409,-0.011732409,0.0013436115
3.6541765,50.0,8.96524446046027e-05,0.2962962962962963,-49.25,1.8010494e-05,-0.01227424,-0.01227424,0.0014510677
3.653984,50.0,7.814434017463265e-05,0.2962962962962963,-49.0,1.788383e-05,-0.010677084,-0.010677084,0.0016477079
3.6482315,50.0,4.291353602946384e-05,0.2962962962962963,-49.95,1.6355712e-05,-0.014217291,-0.014217291,0.0036568611
3.643426,50.0,3.128144594938953e-05,0.2962962962962963,-49.4,1.6241813e-05,-0.007664236,-0.007664236,0.0017457122
3.6567888,50.0,0.00017723264716603998,0.19753086419753085,-48.2,1.6944365e-05,-0.008010581,-0.008010581,0.0013439772
3.6484914,50.0,2.733270718680416e-05,0.2962962962962963,-49.5,1.5622436e-05,-0.017027058,-0.017027058,0.006720451
3.6401381,50.0,3.402132604968674e-05,0.2962962962962963,-48.95,1.4914928e-05,-0.012572595,-0.012572595,0.0053926576
3.6344988,50.0,2.059423011577416e-05,0.4444444444444444,-49.55,1.4106333e-05,-0.012669871,-0.012669871,0.006772663
3.6314063,50.0,6.537627880271245e-05,0.2962962962962963,-49.15,1.4267275e-05,-0.009534478,-0.009534478,0.0009062231
3.6365852,50.0,1.652910054922621e-05,0.4444444444444444,-49.8,1.40538805e-05,-0.020637665,-0.020637665,0.011938739
3.6254349,50.0,1.910140246171392e-05,0.6666666666666666,-49.3,1.379128e-05,-0.018054327,-0.018054327,0.008618932
3.6211772,50.0,4.348838915174844e-05,0.4444444444444444,-48.75,1.3770761e-05,-0.0076995012,-0.0076995012,0.0013698706
