kl,critic_loss,entropy,steps,policy_loss,beta,rewards,value_func_loss
0.002980089,0.00022100318,2.7647965,18.1,-0.021907033,1.0,12.49646471439274,0.0003552117178722773
0.0027016883,0.000129802,2.7469778,22.75,-0.025602631,1.0,18.030816203692996,0.0007885763904717866
0.0053725815,0.00013401707,2.7350159,25.35,-0.033435225,1.0,29.034004920627165,0.01648051359849745
0.003695152,0.00014026715,2.7363143,23.5,-0.03100878,1.0,19.99014924814356,0.0017236877726925566
0.003907836,0.00013617639,2.7420998,29.85,-0.028415715,1.0,28.773288376539305,0.0068741575278889145
0.00697138,0.0001602154,2.7350216,36.65,-0.027688468,1.5,44.156792088233715,0.0211607892668418
0.0026739729,0.00018046731,2.7320971,43.15,-0.013291529,1.5,57.56810674613257,0.027050508865191954
0.0026604238,0.00020245287,2.730966,47.45,-0.012552442,1.5,71.64672462728011,0.013018872019572952
0.0019180567,0.00020093255,2.730423,51.05,-0.011905297,1.5,77.39175344712959,0.012591658820332644
0.0028155225,0.00022461165,2.7315264,48.15,-0.014491116,1.5,73.49908607456415,0.007673582630663259
0.0041332776,0.0002118033,2.7292485,49.2,-0.013656831,1.5,70.39813391545994,0.00783278745337661
0.0040560467,0.00020428335,2.7347379,53.35,-0.015061693,1.5,85.3811083262037,0.007832086092139643
0.0029865773,0.0002103928,2.7475905,65.05,-0.010743322,1.5,101.85798223709318,0.009325377072049201
0.0031864725,0.000207352,2.7488084,65.95,-0.009125131,1.5,105.48509495633024,0.005198683824780777
0.0022873834,0.00022106923,2.7489226,79.45,-0.009176239,1.5,121.16298241222917,0.01487351697699505
0.002618509,0.0002102502,2.7417483,79.4,-0.008713804,1.5,131.13216148195147,0.013832359919471229
0.002281714,0.00024667408,2.734222,87.75,-0.009419565,1.5,141.49494530258133,0.015665042077268994
0.0030437552,0.00026084116,2.7306561,91.2,-0.009931089,1.5,147.98605215039598,0.01971485440569753
0.005189051,0.00027814868,2.7276018,82.1,-0.015772868,1.5,136.46539450501373,0.01744210040252595
0.002346296,0.00030392408,2.7217999,101.5,-0.009853818,1.5,182.83359569323767,0.01762552524870535
0.003843167,0.0003244712,2.7206872,89.55,-0.012579428,1.5,165.99245614485363,0.015832407638200405
0.0037233762,0.00034092405,2.7206166,102.6,-0.010559911,1.5,190.32649743073318,0.011708778409627037
0.0032285308,0.00037058897,2.714925,107.5,-0.009741685,1.5,206.90389891979856,0.0026177453524793594
0.0023630934,0.0003809313,2.7119637,110.05,-0.008840878,1.5,211.01925704745372,0.0018190755547307978
0.004195927,0.0003766889,2.7111824,108.25,-0.012296305,1.5,211.23938893765973,0.0024722392209006747
0.0035622644,0.00036518226,2.7070355,110.7,-0.009013339,1.5,216.11016817613208,0.0034718760021887484
0.0025057516,0.00036800557,2.702862,113.4,-0.0065980717,1.5,223.12523872720027,0.0009680240217343007
0.004827238,0.0003847592,2.6994567,115.65,-0.010434764,1.5,231.59977652247818,0.0008674994767437516
0.0017326284,0.00035952567,2.6927729,112.6,-0.0032579736,1.5,228.36340829595073,0.006320317594397233
0.0052335085,0.00036415603,2.6869488,112.4,-0.011214686,1.5,235.86122374958117,0.001201184096946871
0.0026525566,0.0003249781,2.6870933,115.5,-0.005352145,1.5,237.31233767371594,0.0012989924590499618
0.007812677,0.00032627874,2.6909823,121.35,-0.019640008,2.25,252.7586358698176,0.0033667318388522806
0.0021044444,0.00031574845,2.6906233,121.45,-0.0071770307,2.25,251.7941493479385,0.004087467559095743
0.003319087,0.00033488878,2.6920638,125.4,-0.011784458,2.25,272.76310344372587,0.012645320223764685
0.0026562845,0.00033996796,2.6973553,129.25,-0.0068438575,2.25,278.73234018056917,0.007333866567206305
0.0014956335,0.00032951921,2.6943178,130.2,-0.009014706,1.5,287.7274606730931,0.012620395408689684
0.0034838135,0.00033595078,2.6886907,125.05,-0.009286115,1.5,284.612431776985,0.009461412879229176
0.0037208681,0.0003405123,2.6774879,127.3,-0.0060822424,1.5,280.2186215965213,0.010642659256678394
0.0035008497,0.00034736987,2.672236,130.45,-0.010515616,1.5,301.1732701177296,0.011390800666275966
0.0042559584,0.00036562883,2.6752086,133.2,-0.010257402,1.5,320.85380312671595,0.003946491444533228
0.0059034456,0.0003775496,2.6682487,125.95,-0.010590965,1.5,305.9774956170283,0.010472647247029933
