beta,steps,policy_loss,entropy,value_func_loss,critic_loss,kl,rewards
1.5,28.95,-0.032094866,2.7362278,0.023899796355517897,0.00034010777,0.0075867437,31.068574408914532
1.5,25.45,-0.021772519,2.72274,0.011056044088503638,9.807154e-05,0.0051438636,25.487837571208964
1.5,26.8,-0.020853128,2.7086856,0.015601766302305265,0.000106037536,0.0039937817,29.91616006313177
1.5,39.3,-0.020091344,2.7039602,0.014772056368916011,0.00013470826,0.0059742406,48.68103756259794
1.5,48.75,-0.017086627,2.6942844,0.02212410700135682,0.00012613136,0.0032903692,74.74502020946635
1.5,51.25,-0.013786095,2.6897373,0.01570675931377126,0.00012538873,0.0023310634,75.73528425413438
1.5,53.8,-0.014658549,2.6809483,0.021471107976996806,0.000121701065,0.0021557321,90.19128318854027
1.5,62.9,-0.016584083,2.671165,0.023577778783083432,0.00012897514,0.0033663828,102.81330785158806
1.5,68.3,-0.009777269,2.667634,0.01228691050179466,0.00012355705,0.002258988,117.82796154142474
1.5,66.3,-0.015621743,2.6662474,0.017291354448790257,0.00013564379,0.0045761606,119.2452487589087
1.5,71.3,-0.01717679,2.6537738,0.017412405991939696,0.000147366,0.0041739997,129.42721605791638
1.5,83.55,-0.012848225,2.6633964,0.01787172176746624,0.00016630485,0.004529171,160.5330784968105
1.5,89.0,-0.011741288,2.6706865,0.01871697971082792,0.00019302029,0.0027859067,160.39999963166642
1.5,94.55,-0.012469312,2.6671312,0.011926002768933778,0.00018006521,0.0044131046,182.61776312722475
1.5,101.15,-0.012929303,2.664712,0.00864496465612688,0.00019301978,0.0027655014,195.81907429242156
1.5,105.25,-0.015791086,2.6714554,0.006814055830359063,0.00019460724,0.0028122251,198.6748290042082
1.5,103.45,-0.010393927,2.6699347,0.006747253628073463,0.00020106138,0.002773051,198.92239940410323
1.5,108.5,-0.013625902,2.6679857,0.004858681019918881,0.00020313813,0.0050375527,207.3981463186617
1.5,114.85,-0.011344187,2.6625223,0.005755392509317871,0.00019411731,0.0026566328,209.46574949856463
1.5,105.05,-0.01329144,2.655554,0.008119338711707901,0.00019489728,0.0050408794,201.22213845944145
1.5,116.05,-0.0145003265,2.6571622,0.0012881838264641237,0.00019176927,0.004536623,216.34188141206278
1.5,120.2,-0.0143358,2.6573124,0.00154380842924234,0.00019498102,0.0036468122,221.65821579774826
1.5,131.05,-0.020676678,2.6498868,0.0020683932690525133,0.00018533424,0.005602823,229.18717693760271
2.25,124.75,-0.0152447885,2.6580832,0.0010814336366757014,0.00018442221,0.006536821,235.75042196308746
2.25,124.15,-0.009106443,2.667082,0.003239648260355175,0.000173824,0.0016420203,233.3202968195526
2.25,128.55,-0.013346847,2.676724,0.0013926576826536283,0.0001802296,0.0036082114,249.58432436243802
2.25,127.15,-0.008976618,2.6743975,0.0033967841550551522,0.00018901976,0.0015405455,246.35720618824809
2.25,136.15,-0.008969628,2.6672378,0.013440745611172637,0.0001870518,0.0022258156,247.39580841389142
1.5,135.85,-0.0087346,2.6692011,0.0050716950807032455,0.00018340674,0.0013241039,258.1828328766858
1.5,134.55,-0.009156355,2.664267,0.0033356401264351258,0.00017906417,0.0017084026,253.1565251291538
