steps,policy_ddpg_loss,value_func_loss,policy_ppo_loss,critic_loss,rewards,beta,kl,entropy
20.3,-0.00020745046,0.0007235228182536613,-0.02730509,0.0017194726,13.915790954464962,1.0,0.0047369427,2.7418447
21.0,-0.0010626591,0.000738847305160102,-0.024086857,0.0009916327,15.837850634818405,1.0,0.0036060328,2.7269988
25.55,-0.0019326919,0.002051613357209458,-0.029197333,0.00082707126,21.32448797592056,1.0,0.004605344,2.7309396
25.35,-0.0022649127,0.013915760086154796,-0.0224599,0.0008096891,24.266701615852732,1.0,0.0023247863,2.7140822
34.25,-0.0023355715,0.02041384822625336,-0.015333366,0.0009793008,35.43157576546794,1.0,0.0028491823,2.7072387
39.25,-0.002092098,0.014837406329636796,-0.00961264,0.0009891391,49.677512842229945,1.0,0.002178541,2.7063522
43.75,-0.0020078523,0.01812771541325916,-0.012822496,0.0009460469,53.53146974295275,1.0,0.0030475953,2.696653
54.5,-0.0020336125,0.01786680955668865,-0.015974784,0.0010590544,69.85454588205207,1.0,0.0020793958,2.6880584
59.65,-0.0025342251,0.025633604705754473,-0.013896267,0.0010703,86.75349767045982,1.5,0.006089562,2.681964
57.9,-0.0019684313,0.030653997028512237,-0.01758231,0.0010758857,87.77148054748812,1.5,0.0054828427,2.6818545
71.0,-0.0033815263,0.027132783389080564,-0.013049813,0.0010569972,117.98510743982129,1.5,0.004075028,2.6793108
75.5,-0.003228514,0.025549265975662018,-0.004743267,0.001071678,135.59891390982466,1.5,0.0021666444,2.6753986
86.65,-0.0020152687,0.02107169484219362,-0.00888106,0.0010749351,153.0617696876564,1.5,0.0025147442,2.6695864
99.15,-0.0013588441,0.01586185068807896,-0.009808532,0.0010080987,180.18726878051092,1.5,0.0046300027,2.6707184
100.7,-0.0010117042,0.011942980632100536,-0.009279086,0.00096668623,188.46334150808858,1.5,0.0036265962,2.665112
103.7,-0.0005968865,0.018420119499150647,-0.007841983,0.0008999463,181.29089025479007,1.5,0.0020555719,2.6523535
111.15,-0.00072318537,0.0038496460651196982,-0.010349095,0.0008636114,206.97167454243964,1.5,0.0020501576,2.6421537
110.45,-0.0013865489,0.004627301349226401,-0.0068111373,0.00082177704,204.3595930654269,1.5,0.0029234136,2.6409605
109.65,-0.00056532724,0.007113773315882214,-0.0054537104,0.0007740539,204.49739825990744,1.5,0.0023801755,2.6482213
112.9,-0.00038747382,0.0009076863281951941,-0.011011769,0.00077000685,214.53304405816476,1.5,0.003966948,2.6516888
114.7,-7.208277e-05,0.0023633436771622945,-0.01205243,0.0007658346,213.17352477616086,1.5,0.004073201,2.6475124
117.15,0.0002805096,0.0008545134984258088,-0.011576452,0.00071416225,220.98387990219717,1.5,0.0036160392,2.6473455
122.05,0.0009803462,0.0010950867118401965,-0.013431569,0.00066358276,226.19824232551065,2.25,0.006506945,2.6539464
124.4,0.0007338042,0.007717009414927335,-0.0066131814,0.00064962055,227.04506859124507,2.25,0.001977309,2.655912
128.3,0.0007087045,0.006785367224445648,-0.007465468,0.00063713716,233.8817661591729,2.25,0.0029158539,2.6561732
125.65,0.0011564485,0.003084568527330523,-0.013406489,0.0006151958,239.42399241371783,2.25,0.0034802076,2.6603417
122.7,-9.799989e-05,0.008047674146641813,-0.009001581,0.0006155351,236.06782474806855,2.25,0.0017948217,2.6561518
