steps,rewards,critic_loss,policy_ppo_loss,policy_ddpg_loss,kl,entropy,value_func_loss,beta
26.45,22.544006928707955,0.00031090577,-0.02453278,-0.0010861093,0.0047599887,2.7439196,0.0013706257355428695,1.0
24.3,22.241121905663086,0.00025122863,-0.025502976,-0.0018787195,0.0041323504,2.727801,0.0013515775958990405,1.0
22.6,18.70953722488574,0.00019545187,-0.024348786,-0.0020990754,0.0041611344,2.7350376,0.004035924119091749,1.0
45.6,55.235595571681664,0.0002349801,-0.023487298,-0.0020446435,0.009764,2.7297869,0.018068933131750196,1.5
36.25,44.09250303695567,0.00021098055,-0.019608865,-0.002934234,0.006368585,2.7215974,0.01181326699854231,2.25
35.4,47.36095707115576,0.00022083647,-0.011559643,-0.0033721584,0.0030041644,2.7089643,0.010659049334923705,2.25
59.65,83.09884090364969,0.00022709912,-0.007077404,-0.0036990584,0.0021504352,2.7000754,0.015332301008751856,2.25
47.8,73.06111239127719,0.00022388867,-0.010335322,-0.003878631,0.002330819,2.6898026,0.01109514266586083,2.25
58.2,94.85433987426191,0.00021590825,-0.0059699174,-0.0037346063,0.0014823485,2.695027,0.01152744441693541,1.5
57.9,93.07918460446524,0.00022539758,-0.009580204,-0.0047687404,0.003058102,2.6935544,0.012212431979864973,1.5
70.9,115.63471307404957,0.00022406933,-0.008417782,-0.0042994595,0.0050454494,2.6883245,0.007322856018792445,1.5
69.15,113.75381755574449,0.00021380682,-0.007193649,-0.0048781782,0.0037405747,2.6793466,0.010678667369671367,1.5
82.6,141.24545247670864,0.0002066545,-0.008691042,-0.0037288992,0.006506463,2.678423,0.00445141028651234,2.25
78.9,104.767275819923,0.00019815311,-0.005163328,-0.0053163692,0.0040704724,2.6622934,0.019230639907073604,2.25
86.0,144.88477633358343,0.00020432012,-0.0071376204,-0.0047667716,0.0022831238,2.642426,0.018143150196278424,2.25
90.1,158.92678306369646,0.00021397677,-0.0071551255,-0.004945314,0.0031199171,2.64073,0.022431296372346823,2.25
129.45,209.12091325521456,0.00021113212,-0.0019177187,-0.005250496,0.0009736266,2.6383219,0.019449204961477895,1.5
115.95,188.5891955456792,0.00020751898,-0.003977359,-0.0060401955,0.003650711,2.6323702,0.02096691189104203,1.5
136.55,236.02421088805377,0.00021055221,-0.0049560387,-0.0035146296,0.0016952172,2.6354942,0.005629253962923383,1.5
139.25,234.78548723230568,0.00020697252,-0.00095752,-0.005942545,0.0024694693,2.632906,0.015010810380885479,1.5
137.95,226.69190541358384,0.00021331104,-0.0021526725,-0.0058598244,0.0018636864,2.6386318,0.012986486612422013,1.5
167.2,267.58734134864864,0.00021060428,-0.005852732,-0.0055627306,0.0039044253,2.6414428,0.005343910198040951,1.5
159.65,263.3588643414893,0.00020717243,-0.0035322867,-0.006043735,0.002535642,2.6458611,0.0027415943869963035,1.5
154.6,257.8394841381407,0.00020681554,-0.0038401405,-0.004728757,0.0033640622,2.6532078,0.008163035583529066,1.5
156.35,266.7741522600196,0.00020070329,-0.006620985,-0.004681844,0.0034537034,2.6512973,0.002572171121557737,1.5
147.6,254.57226382810077,0.0001967084,0.00045023975,-0.0054392484,0.0017643655,2.6476452,0.004757118582050928,1.5
167.9,279.37103060267384,0.00019139251,-0.006326382,-0.00495823,0.00468681,2.6429043,0.002241633180975283,1.5
164.65,268.5633354431594,0.00018868702,-0.0013356907,-0.005731567,0.0031417918,2.6345227,0.006264679132349837,1.5
161.85,279.07936984337096,0.00018530087,-0.0067801964,-0.0041702483,0.0039022586,2.6252565,0.0014297898503093116,1.5
174.0,289.7332310058798,0.00018035313,-0.004062889,-0.0054330663,0.0032053932,2.6188984,0.0076322476695022765,1.5
177.5,298.8356453134055,0.00017634631,-0.004224163,-0.0047738096,0.0037153347,2.6205373,0.0015390926010725825,1.5
182.6,303.4326497912681,0.0001683884,-0.005433189,-0.0044671004,0.005118598,2.6299598,0.0011731198319227408,1.5
200.65,324.59548556201764,0.00016835066,-0.0032279277,-0.0050338977,0.0031878527,2.6303349,0.0006968104883203054,1.5
200.05,320.1333803000358,0.00016923828,0.004926148,-0.0067021395,0.0016840923,2.624474,0.008284827149309419,1.5
