steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
50.0,-48.65,-0.010251992,0.0013631325,3.6760669,0.0006562644652499365,0.6666666666666666
50.0,-49.3,-0.013193846,0.0031482687,3.6761768,0.00018189733630480262,0.6666666666666666
50.0,-49.65,-0.006690884,0.0008246014,3.6671727,9.796343717330518e-05,0.4444444444444444
50.0,-49.75,-0.011449734,0.0012555444,3.6488278,4.6992156720142004e-05,0.2962962962962963
50.0,-49.55,-0.009975854,0.0014255052,3.6487913,7.689499420692677e-05,0.19753086419753085
50.0,-48.75,-0.008023027,0.0008035548,3.6650925,5.517760275658469e-05,0.1316872427983539
50.0,-49.65,-0.017251875,0.0042341263,3.6789405,3.473579434749497e-05,0.1316872427983539
50.0,-48.85,-0.0107261995,0.0020427047,3.6768992,3.565369765853283e-05,0.1316872427983539
50.0,-49.85,-0.0077755074,0.0013646741,3.661591,2.3874106474891687e-05,0.0877914951989026
50.0,-49.95,-0.014115494,0.002744573,3.661929,1.6832654777131163e-05,0.0877914951989026
50.0,-49.35,-0.014254056,0.0044279434,3.6659822,2.9170423414306112e-05,0.0877914951989026
50.0,-49.3,-0.010196149,0.0028543333,3.6477902,3.1856467099621394e-05,0.0877914951989026
50.0,-48.4,-0.008041662,0.001321717,3.63258,9.60444469723645e-05,0.05852766346593507
50.0,-48.2,-0.00882219,0.0014226539,3.6359482,3.6697250112583474e-05,0.03901844231062338
50.0,-48.1,-0.014679952,0.0037359481,3.6319003,8.888592634097261e-05,0.03901844231062338
50.0,-48.8,-0.013426974,0.004124204,3.618429,2.460038199816302e-05,0.03901844231062338
50.0,-49.6,-0.014086386,0.004360754,3.6093743,2.7875497289860844e-05,0.03901844231062338
50.0,-48.9,-0.017165452,0.0048146006,3.6002533,4.431219883413528e-05,0.03901844231062338
50.0,-48.1,-0.013247433,0.002590034,3.6028996,6.717525868904441e-05,0.03901844231062338
50.0,-48.6,-0.015289683,0.0038054402,3.6161084,5.363752568387816e-05,0.03901844231062338
50.0,-48.4,-0.0191371,0.0071907826,3.616968,5.4890626766154166e-05,0.058527663465935076
50.0,-47.7,-0.03036324,0.011839371,3.6015477,9.62845417421181e-05,0.08779149519890261
50.0,-48.8,-0.011614158,0.0053787865,3.580384,7.759445765890759e-05,0.08779149519890261
50.0,-48.95,-0.020832926,0.009275288,3.5578077,3.4928826911547945e-05,0.13168724279835392
50.0,-48.8,-0.014466548,0.012173907,3.5509515,3.2177103424391366e-05,0.19753086419753088
50.0,-48.4,-0.017996678,0.01142467,3.5563686,3.3808321058802576e-05,0.29629629629629634
50.0,-48.6,-0.014391387,0.0061305827,3.5529277,3.6234478052641864e-05,0.44444444444444453
50.0,-47.45,-0.013982877,0.0038245742,3.5449924,6.490114637477278e-05,0.44444444444444453
50.0,-47.35,-0.022561327,0.010168905,3.552186,8.008377642779471e-05,0.6666666666666667
50.0,-45.5,-0.007913044,0.0028796804,3.548299,0.00023563923174779256,0.6666666666666667
50.0,-48.15,-0.014087363,0.0055226497,3.5538476,0.00013409769915008018,0.6666666666666667
50.0,-44.95,-0.014336156,0.005598902,3.553802,0.0001456774846778055,0.6666666666666667
50.0,-46.7,-0.013085974,0.0066534327,3.5425642,0.0001656475812143023,1.0
50.0,-43.55,-0.014592737,0.0035749846,3.5381324,0.00023047541662107594,1.0
50.0,-44.5,-0.017351627,0.006818348,3.521134,0.00021370810142895641,1.5
50.0,-46.35,-0.012351427,0.0031674395,3.5077515,9.759337442682724e-05,1.5
50.0,-44.25,-0.019741591,0.0044797934,3.5123267,0.0002315858387442402,1.5
50.0,-42.4,-0.013985487,0.0034034827,3.4982219,0.0002120925570738639,1.5
50.0,-44.9,-0.011031587,0.0031696395,3.477806,0.0003332110774608413,1.5
50.0,-42.45,-0.015207744,0.004382698,3.474325,0.00018508036527166365,1.5
50.0,-37.95,-0.016437478,0.0050820685,3.4698806,0.0004160456408952046,1.5
50.0,-38.5,-0.017532732,0.0045005404,3.4438741,0.0002858503646423313,1.5
50.0,-40.5,-0.015901808,0.005444788,3.4285562,0.0003414284401531831,1.5
50.0,-39.45,-0.020853437,0.005140521,3.3937593,0.00020756387279728634,1.5
50.0,-38.55,-0.019074872,0.006062128,3.375169,0.0003320533268951632,2.25
50.0,-38.7,-0.018423505,0.0048948647,3.3709834,0.00023641127377258691,2.25
50.0,-35.9,-0.016614627,0.0043460275,3.3676903,0.0004798631539830802,2.25
50.0,-34.4,-0.01622678,0.0044221124,3.3535872,0.0002848917350659955,2.25
50.0,-31.55,-0.016885765,0.004674444,3.330443,0.0003346272643592767,2.25
50.0,-30.85,-0.019307725,0.004355762,3.3177683,0.0002652080029953319,2.25
