value_func_loss,entropy,beta,policy_loss,rewards,steps,kl
0.0005949055050226525,3.670105,1.0,-0.06093971,-49.3,50.0,0.0057012327
0.00012962162792665656,3.6809647,0.6666666666666666,-0.01548266,-49.7,50.0,0.0009901428
8.924856683267831e-05,3.694096,0.4444444444444444,-0.01620495,-49.35,50.0,0.0011773644
5.645082276023853e-05,3.7067318,0.4444444444444444,-0.017984,-48.7,50.0,0.0022316086
3.4313293859332275e-05,3.721621,0.2962962962962963,-0.017319985,-49.25,50.0,0.0014412556
2.4290531049215147e-05,3.7255023,0.19753086419753085,-0.015129265,-49.7,50.0,0.0009104688
4.597885329413715e-05,3.7043064,0.19753086419753085,-0.0153788095,-49.45,50.0,0.0020597514
6.532683084582957e-05,3.689566,0.19753086419753085,-0.015596171,-48.85,50.0,0.0022801498
3.070545198822616e-05,3.6748471,0.2962962962962963,-0.02393225,-49.8,50.0,0.006916086
4.6766006427543094e-05,3.6609373,0.19753086419753085,-0.011122313,-48.95,50.0,0.00091074465
4.0293863291042854e-05,3.6565084,0.19753086419753085,-0.02289929,-49.05,50.0,0.0029613683
1.6428362276032963e-05,3.6573849,0.19753086419753085,-0.018754452,-49.9,50.0,0.002074212
2.3609829272243818e-05,3.6550367,0.1316872427983539,-0.020067604,-49.65,50.0,0.0014936205
1.7800686259178755e-05,3.6570356,0.1316872427983539,-0.015517512,-49.6,50.0,0.0023000988
8.468089941867919e-05,3.6680274,0.19753086419753085,-0.0416119,-48.85,50.0,0.013237846
4.226657095833852e-05,3.6709433,0.2962962962962963,-0.025393644,-49.75,50.0,0.0060669268
1.9298160142020647e-05,3.6668506,0.4444444444444444,-0.032320864,-49.9,50.0,0.013713976
1.9238373461306803e-05,3.6564548,0.4444444444444444,-0.016598959,-49.4,50.0,0.0043361993
2.0806145553461415e-05,3.6459758,0.4444444444444444,-0.016963607,-49.2,50.0,0.0036991276
1.3808982240628743e-05,3.6458337,0.6666666666666666,-0.024302451,-49.55,50.0,0.007581321
6.492528139268684e-05,3.6496773,1.0,-0.03577053,-48.5,50.0,0.011334358
5.8989663331062246e-05,3.6477804,1.0,-0.01747768,-49.3,50.0,0.0039329375
3.79247724923005e-05,3.6405618,1.0,-0.027766213,-49.35,50.0,0.005443949
1.265309763787089e-05,3.6249232,1.5,-0.06416444,-50.0,50.0,0.010119269
7.612694115058627e-05,3.6223845,1.5,-0.019647783,-49.15,50.0,0.002313219
3.690407647794787e-05,3.6220675,1.5,-0.016971279,-48.65,50.0,0.003592954
2.5176391339617593e-05,3.6504366,1.5,-0.021725532,-49.3,50.0,0.0031020248
1.040341630444172e-05,3.667448,1.5,-0.024816722,-49.95,50.0,0.0047706147
4.492913138132108e-05,3.6696386,1.5,-0.025815144,-48.85,50.0,0.0057667294
3.2186981436169015e-05,3.6575804,1.5,-0.019267147,-49.25,50.0,0.0035049987
2.7579661626111636e-05,3.638679,1.5,-0.018542627,-49.15,50.0,0.0031212484
1.827799247436452e-05,3.6150734,1.5,-0.013958281,-49.5,50.0,0.0027016187
2.3288725388490707e-05,3.6128607,1.5,-0.017884478,-49.6,50.0,0.0044018514
2.6128803620495596e-05,3.6137285,2.25,-0.04173154,-49.35,50.0,0.009036079
7.34990477942518e-05,3.603246,2.25,-0.012256671,-48.55,50.0,0.0017659223
2.7308576030084824e-05,3.5841942,3.375,-0.033631667,-48.8,50.0,0.008391608
