steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
34.2,35.361388994092835,-0.018630037,0.0037090925,2.7506542,0.03015616855966748,1.0
23.95,16.870312062011454,-0.014471066,0.0030185513,2.7504914,0.0013081693955653477,1.0
21.65,17.186782813032387,-0.023867501,0.006190353,2.748516,0.008497148566980512,1.5
36.15,42.55061962368118,-0.017292025,0.0042439746,2.7463982,0.053197306310103984,1.5
35.45,40.53855512131686,-0.012581662,0.002007417,2.7521594,0.013466389112357346,1.5
59.95,79.6541751053365,-0.013611953,0.0029290647,2.7452195,0.05068996195989515,1.5
60.0,87.7039208065931,-0.013937694,0.003410339,2.7295113,0.05263379485786454,1.5
65.75,92.30291850765096,-0.009837381,0.0020212054,2.7163668,0.04735979911343736,1.5
63.55,98.24464557427135,-0.007837394,0.0017355563,2.704585,0.029832670650343257,1.5
68.65,106.53611169776157,-0.009032011,0.002466495,2.6980932,0.037801205434598015,1.5
63.85,100.494400062643,-0.013318794,0.0032943988,2.6898293,0.03512482758646975,1.5
84.85,146.5042940660716,-0.010110924,0.002319484,2.6849675,0.06072411640563196,1.5
78.6,137.7727422321917,-0.014501692,0.003696431,2.6821616,0.05438710986257334,1.5
94.1,164.6513127401681,-0.012689905,0.002850613,2.6709728,0.07578678784745073,1.5
103.4,184.81521540461486,-0.007825531,0.0023606059,2.6691277,0.03785664813922679,1.5
101.0,185.31721832942213,-0.008478485,0.0020930525,2.665451,0.01846885721290123,1.5
96.85,170.88373978818532,-0.017860133,0.0051774243,2.6583476,0.029093363620893598,1.5
104.45,194.22578701781669,-0.011146028,0.0023733121,2.6538224,0.014516659827156596,1.5
102.45,187.33669608348788,-0.008595622,0.0021118056,2.654695,0.018594130493870757,1.5
111.75,213.69364331338858,-0.010456445,0.0031744568,2.6543083,0.012103964022995062,1.5
116.55,222.93482740038567,-0.0077997968,0.0017072497,2.6435344,0.005832320214514889,1.5
112.45,213.29688733633444,-0.00720568,0.0018910978,2.6454465,0.0033387407911564778,1.5
119.65,233.4947194801904,-0.008718144,0.0026017737,2.6484704,0.0036338621125367016,1.5
120.55,232.05526369351682,-0.009755529,0.0043367385,2.6469948,0.004239275834383093,1.5
121.0,238.9030721522623,-0.009986774,0.0042471294,2.6453824,0.005454433349984397,1.5
123.35,248.73313309378574,-0.0122762285,0.0044472353,2.637974,0.010730527230171259,1.5
136.3,279.7614324845,-0.00970144,0.003972075,2.628616,0.005485451473907094,1.5
132.85,269.2757831003623,-0.008843628,0.003459379,2.616594,0.010223616758178778,1.5
133.5,279.50109775390536,-0.007161767,0.0028166473,2.6180964,0.0029734939793898034,1.5
138.8,292.31590573056644,-0.0059867683,0.0013246217,2.6198509,0.0021836925870019923,1.0
136.1,285.8891268989132,-0.008137364,0.0038135827,2.6186585,0.0014708223152369165,1.0
141.25,298.4845185356743,-0.006838875,0.0026770614,2.6225047,0.0009841201002754537,1.0
137.15,295.4264169915212,-0.010530153,0.0033425558,2.6162794,0.004444602883488759,1.0
138.45,293.5027997440317,-0.014422376,0.003611393,2.6107664,0.008438641436531207,1.0
139.9,305.2285459245154,-0.012453517,0.007087362,2.6102986,0.00277519355811153,1.5
142.8,307.322976612062,-0.006976179,0.002519988,2.6079202,0.0016669701768324695,1.5
139.15,305.3570137551578,-0.009054711,0.0033761298,2.5965862,0.0010812183809946888,1.5
141.15,315.5484469511738,-0.012284301,0.0061702365,2.597787,0.0031629762779122467,2.25
147.45,330.580389564307,-0.008409901,0.0023417815,2.597095,0.0027768853383884204,2.25
148.95,344.78169372346053,-0.009589802,0.0035770547,2.5975018,0.004188202195511968,2.25
149.6,335.7791725118247,-0.009141093,0.0020398342,2.583974,0.009644319106046564,2.25
161.75,379.9472104556975,-0.007752239,0.0018997717,2.5822916,0.021443679877912472,2.25
154.45,364.9560266807919,-0.0072124084,0.001924221,2.5889928,0.020930952847745276,2.25
163.15,385.3912090922948,-0.00510226,0.001044753,2.581599,0.03021917542366707,1.5
158.55,374.75966123934415,-0.012563421,0.006065643,2.571909,0.021836968451012496,2.25
156.45,373.8410817841121,-0.011034184,0.002170487,2.5705123,0.03658110587815866,2.25
181.8,458.23634514492625,-0.007705165,0.0018874638,2.5672214,0.03904395819442499,2.25
185.35,464.03991844094617,-0.007070686,0.0021412119,2.5625238,0.04234212470244467,2.25
200.65,518.4714399799966,-0.0061709927,0.0021870758,2.5601807,0.056444955175500446,2.25
221.25,575.2822194650455,-0.005612636,0.0015084444,2.5561938,0.04940065232319883,2.25
