steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
21.35,17.834631035206712,-0.022102285,0.0028569275,2.736286,0.008312617656768353,1.0
23.8,18.43867556060014,-0.018459702,0.0026032315,2.7188342,0.002632700002862132,1.0
41.25,41.07771376891691,-0.018523024,0.0022709498,2.7080197,0.007007839140360463,1.0
49.5,46.58220547611782,-0.015266018,0.0028910167,2.7008853,0.03852095172234117,1.0
40.6,49.74033483940278,-0.020624612,0.0053709433,2.7015688,0.018144193263491353,1.0
63.75,92.42283109573361,-0.013405519,0.002208879,2.6992834,0.021278332974954513,1.0
62.35,86.44332799115891,-0.016035633,0.0027565064,2.704813,0.01187243348588997,1.0
56.3,87.12441657927452,-0.013230627,0.0024216878,2.704308,0.012298715115518773,1.0
83.8,141.37315904508694,-0.01110555,0.004630611,2.693592,0.02514887458896081,1.0
76.9,132.85479271851858,-0.016760258,0.010164787,2.6923716,0.016760326059571385,1.5
81.7,138.08046766653638,-0.014039803,0.0036802117,2.6869295,0.03165337937353199,1.5
105.2,185.15456094534974,-0.0070943637,0.0015074824,2.6775784,0.02620326639456386,1.5
84.9,160.48207526438867,-0.012173308,0.0031491802,2.6726816,0.031118971615195803,1.5
98.35,194.19814844814556,-0.008654256,0.0027604587,2.673804,0.023054223143688747,1.5
97.65,189.48540507155644,-0.007587987,0.002241883,2.67265,0.021555271477370422,1.5
107.15,214.18020940127835,-0.01000765,0.0023571092,2.6705086,0.008483153127766593,1.5
108.15,217.63433063982612,-0.010084274,0.0032362298,2.6604018,0.009199317952992886,1.5
110.0,218.71906516058442,-0.008282912,0.0016683446,2.6505592,0.012325816194218523,1.5
109.95,223.830467887985,-0.007651253,0.0023734039,2.651775,0.009985624293641502,1.5
115.1,235.17585957205543,-0.0072389203,0.0023892103,2.6485207,0.002450883113382629,1.5
121.95,240.67125634930068,-0.008237684,0.0032603082,2.6437657,0.0031857911145427614,1.5
142.05,259.5650302734388,-0.006111917,0.0027158328,2.6399956,0.0113435971690485,1.5
172.6,296.4404608803811,-0.008351945,0.002609444,2.641966,0.013436422827489563,1.5
146.45,273.2165991828483,-0.008249996,0.0038738088,2.6388292,0.0038141082121547635,1.5
198.65,337.3327681771833,-0.0065957326,0.0015117414,2.6351228,0.00521866373567031,1.5
192.4,328.80768181684175,-0.0060527986,0.0020578955,2.6339839,0.012583445125873019,1.5
203.0,362.8428074174064,-0.0147141265,0.0061382838,2.6348085,0.010607593427069734,2.25
276.9,450.47404762396246,-0.0070895115,0.0021212217,2.642435,0.009313077544229914,2.25
254.65,420.6972261057511,-0.006777391,0.0014854475,2.646102,0.03218722280188486,1.5
265.35,451.33101398495637,-0.007752428,0.0022568158,2.6459627,0.012690551741520627,1.5
369.95,549.9136077422415,-0.003947515,0.0012012256,2.6492639,0.030423937216514516,1.0
378.45,580.0709792040858,-0.006405388,0.0024258725,2.6517222,0.014516087725643686,1.0
253.9,465.6407248959049,-0.006922204,0.0021698466,2.6471303,0.0048424949204645806,1.0
304.05,535.9890304251392,-0.009405779,0.0041755913,2.6449676,0.006285152679208445,1.0
239.95,462.9269588847822,-0.006715323,0.002028182,2.647142,0.007685154603867411,1.0
262.85,546.2171941755405,-0.008947859,0.0048126145,2.6412833,0.014022917817263747,1.0
250.45,518.7038322021216,-0.009203071,0.0041854656,2.6385434,0.03430534131902012,1.0
264.05,550.6595537183082,-0.008974334,0.0034633456,2.6305084,0.03823358558528273,1.0
249.35,542.297774863154,-0.009980779,0.004199728,2.6180682,0.025205290877382686,1.0
